head,modified_head
agímud,gí2mud0
agináldu,gi0nál2du0
agíŋay,gí2ŋay0
agínsud,gín2sud0
agínud,gí2nud0
agipú,gi0pú1
agirí,gi0rí1
agísqis,gís2qis0
agítqit,gít2qit0
agítqit,gít2qit0
agitqitún,git0qi0tún1
agítuŋ,gí2tuŋ0
agitúŋ,gi0túŋ1
ágiw,giw0
paágiw,pa0qaáqiw0
alagiwán,la0gi0wán1
ágiwanan,gi0wa0nan0
ágkut,qágkut0
aglidúlsi,qag0li0dúl2si0
aglípay,qag0lí2pay0
aglipayánu,qag0li0pa0yá2nu0
ágmaŋ,qágmaŋ0
ágmud,qágmud0
ágŋan,qágŋan0
ágni,qágni0
ágnus,qágnus0
ágpan,qágpan0
ágpaŋ,qágpaŋ0
ágpas,qágpas0
paágpas,pa0qaágqas0
paŋágpas,pa0ŋág2pas0
agrabiyár,qag0ra0bi0yár1
agrabyádu,qag0rab0yá2du0
agrábyu,qag0ráb2yu0
ágri,qágri0
agridúlsi,qag0ri0dúl2si0
agrigáwu,qag0ri0gá2wu0
agrikultúra,qag0ri0kul0tú2ra0
agrikulturísta,qag0ri0kul0tu0rís2ta0
agrimínsur,qag0ri0mín2sur0
agrísib,qag0rí2sib0
agrisíba,qag0ri0sí2ba0
agrisíbu,qag0ri0sí2bu0
inagrisíbu,nag0ri0sí2bu0
ágsa,qágsa0
ágsa,qágsa0
ágsiŋ,qágsiŋ0
ágtaq,qágtaq0
ágtaŋ,qágtaŋ0
agtaŋún,qag0ta0ŋún1
ágtiq,qágtiq0
agú,gú1
Agú.,gú.1
ágū̀,0
agúbhub,gúb2hub0
agúbqub,gúb2qub0
agúbqub,gúb2qub0
agúd,gúd1
agúha,gú2ha0
aguhílya,gu0híl2ya0
agúhuq,gú2huq0
agúkquk,gúk2quk0
agúkuy,gú2kuy0
agúl,gúl1
aguláŋ,gu0láŋ1
agúluq,gú2luq0
agúm,gúm1
águm,gum0
paágum,pa0qaáqum0
hiágum,hi0qiáqum0
haágum,ha0qaáqum0
kaáguman,ka0qaágu0qan0
agumáa,gu0má2qa0
agúmud,gú2mud0
agúmqum,gúm2qum0
águŋ,guŋ0
agúŋal,gú2ŋal0
agúŋquŋ,gúŋ2quŋ0
agúŋquŋ,gúŋ2quŋ0
agúŋuy,gú2ŋuy0
aguníyas,gu0ní2yas0
agúntuq,gún2tuq0
agúpqup,gúp2qup0
agupqupún,gup0qu0pún1
agurúy,gu0rúy1
águs,gus0
agusahís,gu0sa0hís1
Agústu,gús2tu0
agúsqus,gús2qus0
agút,gút1
agutún,gu0tún1
agút,gút1
agútay,gú2tay0
agutíŋ,gu0tíŋ1
agutíut,gu0tí2qut0
agútŋa,gút2ŋa0
agútqut,gút2qut0
agútqut,gút2qut0
agútqut,gút2qut0
agúut,gú2qut0
agúy,gúy1
aguyáŋyaŋ,gu0yáŋ2yaŋ0
aguyáŋyaŋ,gu0yáŋ2yaŋ0
ágwa,qágwa0
paŋágwa,pa0ŋág2wa0
agwahán,qag0wa0hán1
agwáda,qag0wá2da0
paŋagwáda,pa0ŋag0wá2da0
agwádu,qag0wá2du0
agwadúr,qag0wa0dúr1
agwánta,qag0wán2ta0
agwantadú,qag0wan0ta0dú1
agwantadúr,qag0wan0ta0dúr1
agwardiyínti,qag0war0di0yín2ti0
ágwas,qágwas0
agwasíl,qag0wa0síl1
agwásun,qag0wá2sun0
áh,h0
ahá,há1
aháan,há2qan0
áhag,hag0
áhagan,ha0gan0
áhak,hak0
áhas,has0
áhas,has0
ahát,hát1
athanáy,qat0ha0náy1
aháw,háw1
aháy,háy1
ahídris,híd2ris0
ahidrisán,hid0ri0sán1
ahíŋhu,híŋ2hu0
ahinsiyá,hin0si0yá1
ahínti,hín2ti0
ahítu,hí2tu0
áhuq,huq0
áhug,hug0
ahúg,húg1
áhus,hus0
ahús,hús1
ahusán,hu0sán1
ahusqáhus,hus0qá2hus0
ahusqahús,hus0qa0hús1
ák,k0
akáak,ká2qak0
ákab,kab0
akadimíya,ka0di0mí2ya0
ákqak,qákqak0
ákal,kal0
akásya,kás2ya0
akasyahán,kas0ya0hán1
akatá,ka0tá1
akatár,ka0tár1
akáwntant,qáwntan0
ákba,qákba0
ákbay,qákbay0
ákbuq,qákbuq0
akbuánan,qak0bu0quáqan0
ákhab,qákhab0
akín,kín1
akíp,kíp1
akipqakipún,kip0qa0ki0pún1
áklas,qáklas0
ákmuq,qákmuq0
ákni,qákni0
áknit,qáknit0
áksiq,qáksiq0
aksidínti,qak0si0dín2ti0
aksidú,qak0si0dú1
kaáksidu,ka0qaáksi0qu0
aksíntu,qak0sín2tu0
aksiyún,qak0si0yún1
aksiyunísta,qak0si0yu0nís2ta0
áksul,qáksul0
ákta,qákta0
aktibidádis,qak0ti0bi0dá2dis0
aktibísta,qak0ti0bís2ta0
aktíbu,qak0tí2bu0
áktiŋ,qáktiŋ0
aktitúd,qak0ti0túd1
áktris,qáktris0
alaktrisún,qakt0ri0sún1
áktu,qáktu0
áktur,qáktur0
alakturún,lak0tu0rún1
aktuwál,qak0tu0wál1
akú,kú1
kú,kú1
tigqakuakú,tig0qa0ku0qua0qú
ákuq,kuq0
maakuakuún,ma0qaa0ku0qua0ku0qún
akúa,kú2qa0
kanákuq,ka0ná2kuq0
nákuq,ná2kuq0
áku,ku0
paŋáku,pa0ŋá2ku0
kaakúhan,ka0qaa0kú2qan0
kapaŋakúhan,ka0pa0ŋa0kú2han0
akuakuhán,ku0qua0ku0qán
maakuakuhán,ma0qaa0ku0qua0ku0qán
maŋgiakuakuhán,maŋ0gi0qia0ku0qua0ku0qán
akúb,kúb1
ákub,kub0
ákud,kud0
ákud,kud0
akúd,kúd1
akúdi,kú2di0
akulitú,ku0li0tú1
akumpaniíŋ,kum0pa0ni0qíŋ
akumpaniyamíntu,kum0pa0ni0ya0mín2tu0
