head,modified_head
mawúq,ma0wúq1
mawuŋmáwuŋ,ma0wuŋ0má2wuŋ0
mawútpis,ma0wút2pis0
máwquy,máw2quy0
máy,máy1
máya,má2ya0
mayáq,ma0yáq1
kamayáq,ka0ma0yáq1
mayáman,ma0yá2man0
mayamayá,ma0ya0ma0yá1
mayamáya,ma0ya0má2ya0
mayánaq,ma0yá2naq0
mayáus,ma0yá2qus0
máybay,máy2bay0
máyhu,máy2hu0
máyhum,máy2hum0
mayík,ma0yík1
máylab,máy2lab0
máymay,máy2may0
pamáymay,pa0máy2may0
pamaymayún,pa0may0ma0yún1
máynur,máy2nur0
maypáy,may0páy1
máyrun,máy2run0
máytir,máy2tir0
Máyu,Má2yu0
mayúkmuk,ma0yúk2muk0
kamayúkmuk,ka0ma0yúk2muk0
máyuŋ,má2yuŋ0
máyquŋ,máy2quŋ0
kamáyquŋ,ka0máy2quŋ0
mayunís,ma0yu0nís1
mayunísa,ma0yu0ní2sa0
mayúr,ma0yúr1
máyur,má2yur0
mayuríya,ma0yu0rí2ya0
mayurúq,ma0yu0rúq1
mayuskulá,ma0yus0ku0lá1
mga,ga0
mí,mí1
mí,mí1
mī̀́,0
míq,míq1
míd,míd1
pamíd,pa0míd1
mídal,mí2dal0
bruns,run0
gúld,gúl1
midalíst,mi0da0lís1
midálya,mi0dál2ya0
midályun,mi0dál2yun0
mídi,mí2di0
midída,mi0dí2da0
midikál,mi0di0kál1
midikílyu,mi0di0kíl2yu0
midikú,mi0di0kú1
midisín,mi0di0sín1
midisína,mi0di0sí2na0
midiyá,mi0di0yá1
midiyamidiyá,mi0di0ya0mi0di0yá1
midiyahán,mi0di0ya0hán1
midiyás,mi0di0yás1
midiyásan,mi0di0yá2san0
midiyú,mi0di0yú1
midiyús,mi0di0yús1
mídtik,míd2tik0
mídtirm,míd2tir0
midqubqánur,mid0qub0qá2nur0
midwayíp,mid0wa0yíp1
midwayipirí,mid0wa0yi0pi0rí1
mídyur,míd2yur0
mígkap,míg2kap0
mígkat,míg2kat0
migrupunú,mig0ru0pu0nú1
mihihíq,mi0hi0híq1
mihiqmihíq,mi0hiq0mi0híq1
mihít,mi0hít1
mihúras,mi0hú2ras0
mík,mík1
mikáq,mi0káq1
mikanikál,mi0ka0ni0kál1
mikanikú,mi0ka0ni0kú1
mikanísmu,mi0ka0nís2mu0
míkqap,mík2qap0
míkqap,mík2qap0
míki,mí2ki0
mikrúbyu,mik0rúb2yu0
mikrupunú,mik0ru0pu0nú1
mikruskúpyu,mik0rus0kúp2yu0
míkskla,ksk0la0
míl,míl1
dusyíntus,dus0yín2tus0
étc.,0
milmíl,mil0míl1
míl,míl1
milágru,mi0lág2ru0
milagrusá,mi0lag0ru0sá1
milagrusú,mi0lag0ru0sú1
milaqmiláq,mi0laq0mi0láq1
milaŋkuliyá,mi0laŋ0ku0li0yá1
milaŋkulíya,mi0laŋ0ku0lí2ya0
miláru,mi0lá2ru0
mílbaks,míl2bak0
milibikí,mi0li0bi0kí1
miligrámu,mi0lig0rá2mu0
miligúy,mi0li0gúy1
milimítru,mi0li0mít2ru0
milíndris,mi0qíndris0
milísya,mi0lís2ya0
milisyaún,mi0lis0ya0qún
militár,mi0li0tár1
mílk,míl1
mílma,míl2ma0
milúq,mi0lúq1
milún,mi0lún1
mílun,mí2lun0
milúŋ,mi0lúŋ1
mílya,míl2ya0
milyahí,mil0ya0hí1
mílyun,míl2yun0
milyunárya,mil0yu0nár2ya0
milyunáryu,mil0yu0nár2yu0
mímbru,qímbru0
pamímbru,pa0qímbru0
mími,mí2mi0
mímiŋ,mí2miŋ0
mímis,mí2mis0
mímis,mí2mis0
mímu,mí2mu0
mimurándum,mi0mu0rán2dum0
mimuráyis,mi0mu0rá2yis0
mimúrya,mi0múr2ya0
mímyu,mím2yu0
mimyúgrap,mim0yúg2rap0
tigmimyúgrap,tig0mim0yúg2rap0
mína,mí2na0
minahán,mi0na0hán1
minahún,mi0na0hún1
mína,mí2na0
minándis,mi0nán2dis0
Mindanáw,Min0da0náw1
míŋq,míŋ1
míŋ,míŋ1
míŋaw,mí2ŋaw0
kamíŋaw,ka0mí2ŋaw0
mamíŋaw,ma0mí2ŋaw0
mamiŋáwun,ma0mi0ŋá2wun0
kamiŋáwan,ka0mi0ŋá2wan0
míŋhuy,míŋ2huy0
míŋkay,míŋ2kay0
míŋmiŋ,míŋ2miŋ0
miníq,mi0níq1
minqibín,min0qi0bín1
minqibínt,min0qi0bín1
minimú,mi0ni0mú1
minimúm,mi0ni0múm1
minindyáytis,mi0qind0yáy2tis0
minirál,mi0ni0rál1
minirális,mi0ni0rá2lis0
minírba,mi0nír2ba0
miníru,mi0ní2ru0
minískirt,mi0nís2kir0
minístil,mi0nís2til0
ministíryu,mi0nis0tír2yu0
minístru,mi0qístru0
míns,mín1
minsáhi,min0sá2hi0
minsahirú,min0sa0hi0rú1
míntal,mín2tal0
mintalidád,min0ta0li0dád1
mintirá,min0ti0rá1
mintíryu,min0tír2yu0
míntras,qíntras0
míntul,mín2tul0
mínuq,mí2nuq0
minúdu,mi0nú2du0
paminúdu,pa0mi0nú2du0
minúldi,mi0núl2di0
minúŋa,mi0nú2ŋa0
minqúpis,min0qú2pis0
minúr,mi0núr1
minurmínur,mi0nur0mí2nur0
minúr,mi0núr1
minuríya,mi0nu0rí2ya0
mínus,mí2nus0
minús,mi0nús1
minuskulá,mi0nus0ku0lá1
minutíru,mi0nu0tí2ru0
minútu,mi0nú2tu0
minútus,mi0nú2tus0
mínyak,mín2yak0
mínyat,mín2yat0
mínyuq,mín2yuq0
kaminyúun,ka0min0yú2qun0
magmilínyuq,mag0mi0lín2yuq0
míra,mí2ra0
mirakúl,mi0ra0kúl1
miramíra,mi0ra0mí2ra0
mirasúl,mi0ra0súl1
mirída,mi0rí2da0
miriguráwun,mi0ri0gu0rá2wun0
mirkánu,mir0ká2nu0
mirikú,mi0ri0kú1
pamirikú,pa0mi0ri0kú1
mirínda,mi0rín2da0
miríŋgi,mi0ríŋ2gi0
mirísi,mi0rí2si0
miritú,mi0ri0tú1
mirkádu,mir0ká2du0
mirkána,mir0ká2na0
mirkánu,mir0ká2nu0
Mirkulís,Mir0ku0lís1
mírma,mír2ma0
mirtiyulít,mir0ti0yu0lít1
mirún,mi0rún1
mirúy,mi0rúy1
miryínda,mir0yín2da0
mís,mís1
mís,mís1
mísis,mí2sis0
mísa,mí2sa0
pamísa,pa0mí2sa0
mísa,mí2sa0
misáda,mi0sá2da0
misál,mi0sál1
mísal,mí2sal0
misáy,mi0sáy1
mísbuy,mís2buy0
misík,mi0sík1
misímis,mi0sí2mis0
misimús,mi0si0mús1
misirábli,mi0si0ráb2li0
misirinúbis,mi0si0ri0nú2bis0
mísis,mí2sis0
mísis,mí2sis0
misís,mi0sís1
misíta,mi0sí2ta0
misítas,mi0sí2tas0
misitasán,mi0si0ta0sán1
misitíra,mi0si0tí2ra0
misíyas,mi0sí2yas0
misiyún,mi0si0yún1
misiyunáry,mi0si0yu0nár1
misiyuníru,mi0si0yu0ní2ru0
miskínu,mis0kí2nu0
mískla,qískla0
mísmis,mís2mis0
mísmu,mís2mu0
mistík,mis0tík1
místil,mís2til0
minístil,mi0nís2til0
místir,mís2tir0
místǐr,mís1
mistíryu,mis0tír2yu0
mistiryúsa,mis0tir0yú2sa0
mistiryúsu,mis0tir0yú2su0
mistísa,mis0tí2sa0
mistisahún,mis0ti0sa0hún1
mistisílya,mis0ti0síl2ya0
mistísu,mis0tí2su0
baŋús,ba0ŋús1
pátsaŋ,pát2saŋ0
mistisuhún,mis0ti0su0hún1
ministisú,mi0nis0ti0sú1
místra,qístra0
místru,qístru0
míswa,mís2wa0
míswa,mís2wa0
misyunibírs,mis0yu0ni0bír1
mitád,mi0tád1
mítal,mí2tal0
mitaliká,mi0ta0li0ká1
mitalikú,mi0ta0li0kú1
mitaqmitáq,mi0taq0mi0táq1
mitaqmitáq,mi0taq0mi0táq1
mitaqmitáun,mi0taq0mi0tá2qun0
míthiq,mít2hiq0
pakamíthiq,pa0ka0mít2hiq0
mití,mi0tí1
mitimíti,mi0ti0mí2ti0
mitilmítil,mi0til0mí2til0
mítiŋ,mí2tiŋ0
mítiŋanan,míti0ŋa0nan0
mitirmítir,mi0tir0mí2tir0
mítkan,mít2kan0
mítmit,mít2mit0
mítnaq,mít2naq0
mítru,mít2ru0
mítrus,mít2rus0
mitrusán,mit0ru0sán1
mitruhán,mit0ru0hán1
mítsa,mít2sa0
mitsahán,mit0sa0hán1
mítsa,mít2sa0
mitsádu,mit0sá2du0
mitsilín,mit0si0lín1
mituáku,mi0tu0quáqu0
mitudú,mi0tu0dú1
mituluhíya,mi0tu0lu0hí2ya0
miunmíun,mi0qiun0mí2qun0
míya,mí2ya0
miyáw,mi0yáw1
míyaw,mí2yaw0
míyur,mí2yur0
Mlbn.́,0
mḿ,m0
Mr.́,0
mú,mú1
mú,mú1
mú,mú1
mú,mú1
mū̀́,0
múq,múq1
múb,múb1
múbgas,múb2gas0
múbil,mú2bil0
mubúq,mu0búq1
hamubúq,ha0mu0búq1
múgbuq,múg2buq0
minubúq,mi0nu0búq1
múda,mú2da0
mudílu,mu0dí2lu0
mudipikár,mu0di0pi0kár1
mudiradúr,mu0di0ra0dúr1
múdirn,mú2dir0
mudírnu,mu0dír2nu0
mudísta,mu0dís2ta0
múdmud,múd2mud0
múdtu,múd2tu0
múdu,mú2du0
múdquk,múd2quk0
mudqúkun,mud0qú2kun0
múdus,mú2dus0
múgqaw,múg2qaw0
múgmug,múg2mug0
múgnaq,múg2naq0
magmumúgnaq,mag0mu0múg2naq0
tigmúgnaq,tig0múg2naq0
tagmúgnaq,tag0múg2naq0
múgtuk,múg2tuk0
múgqut,múg2qut0
muhír,mu0hír1
muhún,mu0hún1
mukasín,mu0ka0sín1
múkda,múk2da0
múku,mú2ku0
múkuy,mú2kuy0
múl,múl1
múla,mú2la0
mulásis,mu0lá2sis0
múldi,múl2di0
muldihán,mul0di0hán1
minúldi,mi0núl2di0
mulígnuq,mu0líg2nuq0
mulínu,mu0lí2nu0
mulistiyá,mu0lis0ti0yá1
mulítsiŋ,mu0lít2siŋ0
múlmul,múl2mul0
múlmul,múl2mul0
múlta,múl2ta0
multibaytamíns,mul0ti0bay0ta0mín1
multíplay,mul0típ2lay0
multiplikár,mul0tip0li0kár1
multiplikasiyún,mul0tip0li0ka0si0yún1
múltu,múl2tu0
mulúq,mu0lúq1
mudmuluánun,mud0mu0lu0quáqun0
múlyi,múl2yi0
múlyi,múl2yi0
múlyi,múl2yi0
mulyihán,mul0yi0hán1
mulyínu,mul0yí2nu0
múmhu,múm2hu0
kamúmhu,ka0múm2hu0
mumhuún,mum0hu0qún
mumíntu,mu0mín2tu0
múmu,mú2mu0
mumúq,mu0múq1
múqmuq,múq2muq0
múmug,mú2mug0
múmuy,mú2muy0
munamúna,mu0na0mú2na0
munarkíya,mu0nar0kí2ya0
munastíryu,mu0nas0tír2yu0
múnay,mú2nay0
múndu,mún2du0
múndu,mún2du0
múnduy,mún2duy0
muŋáq,mu0ŋáq1
muŋáan,mu0ŋá2qan0
muŋáluŋ,mu0ŋá2luŋ0
himuŋáluŋ,hi0mu0ŋá2luŋ0
hamuŋáluŋ,ha0mu0ŋá2luŋ0
pahimunáluŋ,pa0hi0mu0ná2luŋ0
muŋawmúŋaw,mu0ŋaw0mú2ŋaw0
pamuŋawmúŋaw,pa0mu0ŋaw0mú2ŋaw0
muŋáwuŋ,mu0ŋá2wuŋ0
múŋgus,múŋ2gus0
múŋha,múŋ2ha0
múŋhi,múŋ2hi0
muŋít,mu0ŋít1
muŋkadísta,muŋ0ka0dís2ta0
múnha,mún2ha0
múnhi,mún2hi0
munisipál,mu0ni0si0pál1
munisípyu,mu0ni0síp2yu0
munitúr,mu0ni0túr1
muntáda,mun0tá2da0
múntǎr,mún1
múnti,mún2ti0
múnti,mún2ti0
muntiŋlúpaq,mun0tiŋ0lú2paq0
muntúra,mun0tú2ra0
pamuntúra,pa0mun0tú2ra0
munumíntu,mu0nu0mín2tu0
munyíka,mun0yí2ka0
munyumíntu,mun0yu0mín2tu0
munyumíntu,mun0yu0mín2tu0
múr,múr1
murá,mu0rá1
múra,mú2ra0
murábya,mu0ráb2ya0
murádu,mu0rá2du0
murál,mu0rál1
muralidád,mu0ra0li0dád1
muralísta,mu0ra0lís2ta0
múrdir,múr2dir0
múrgi,múr2gi0
murína,mu0rí2na0
murínu,mu0rí2nu0
murítsiŋ,mu0rít2siŋ0
kamurítsiŋ,ka0mu0rít2siŋ0
múrkun,múr2kun0
murpína,mur0pí2na0
mursíku,mur0sí2ku0
mursíkus,mur0sí2kus0
múrtal,múr2tal0
múrtal,múr2tal0
murú,mu0rú1
murumúru,mu0ru0mú2ru0
murún,mu0rún1
múrus,mú2rus0
minurús,mi0nu0rús1
minúrus,mi0nú2rus0
kamurusán,ka0mu0ru0sán1
murúsu,mu0rú2su0
muryumúryu,mur0yu0múr2yu0
mús,mús1
músa,mú2sa0
músgut,mús2gut0
musgután,mus0gu0tán1
musíq,mu0síq1
musiká,mu0si0ká1
musikál,mu0si0kál1
musikú,mu0si0kú1
musikíra,mu0si0kí2ra0
musikíru,mu0si0kí2ru0
musimús,mu0si0mús1
muskatíl,mus0ka0tíl1
múskit,mús2kit0
muskitíru,mus0ki0tí2ru0
muskubádu,mus0ku0bá2du0
muskuládu,mus0ku0lá2du0
muskuláwu,mus0ku0lá2wu0
músmus,mús2mus0
mustása,mus0tá2sa0
mústra,qústra0
mustradúr,qust0ra0dúr1
músu,mú2su0
pamúsu,pa0mú2su0
musulíyu,mu0su0lí2yu0
músyun,mús2yun0
mútaq,mú2taq0
mutáq,mu0táq1
himútaq,hi0mú2taq0
paŋhimútaq,paŋ0hi0mú2taq0
himutaán,hi0mu0ta0qán
mutaún,mu0ta0qún
mutíbu,mu0tí2bu0
mutíl,mu0tíl1
mutimutí,mu0ti0mu0tí1
mutsátsa,mut0sát2sa0
mutsátsu,mut0sát2su0
pamutsátsu,pa0mut0sát2su0
pakamutsátsu,pa0ka0mut0sát2su0
mútsu,mút2su0
mutú,mu0tú1
mutúq,mu0túq1
mútquk,mút2quk0
mutuqmútuq,mu0tuq0mú2tuq0
mutuqmútuq,mu0tuq0mú2tuq0
mutún,mu0tún1
mutúŋ,mu0túŋ1
mutúr,mu0túr1
muturbayík,mu0tur0ba0yík1
mutursáykul,mu0tur0sáy2kul0
dimutúr,di0mu0túr1
muturísta,mu0tu0rís2ta0
mutursáykul,mu0tur0sáy2kul0
mutursíklu,mu0tur0sík2lu0
mútyaq,mút2yaq0
pakamútyaq,pa0ka0mút2yaq0
muú,mu0qú
múuk,mú2quk0
muukán,mu0quu0qán
palamúuk,pa0la0mú2quk0
muúŋ,mu0qúŋ
muút,mu0qút
múut,mú2qut0
paramúut,pa0ra0mú2qut0
muwaybuwáy,mu0way0bu0wáy1
múy,múy1
múqy,múq1
muyúq,mu0yúq1
higmuyúq,hig0mu0yúq1
hagmuyúq,hag0mu0yúq1
mwíblis,wíb2lis0
mwílyi,wíl2yi0
mwístra,qístra0
mwistradúr,qist0ra0dúr1
myápi,yá2pi0
myáus,yá2qus0
myímbru,qímbru0
myíntras,qíntras0
Myirkulís,yir0ku0lís1
myúsik,yú2sik0
ná,ná1
ádtu,qádtu0
mí,mí1
ása,sa0
diín,di0qín
lámaŋ,lá2maŋ0
sád,sád1
sáb,sáb1
ná,ná1
ná,ná1
náq,náq1
náq,náq1
náa,ná2qa0
naáka,na0qaáqa0
naqán,na0qán1
nába,ná2ba0
nabál,na0bál1
nában,ná2ban0
nábdus,náb2dus0
nabigár,na0bi0gár1
nabú,na0bú1
náda,ná2da0
nádtu,nád2tu0
nágq,nág1
nagáq,na0gáq1
nága,ná2ga0
nagíknik,na0gík2nik0
nágmuq,nág2muq0
nágnag,nág2nag0
nagúmnum,na0gúm2num0
nagútnut,na0gút2nut0
nagutnután,na0gut0nu0tán1
nágwas,nág2was0
náhuq,ná2huq0
nahút,na0hút1
pakanahút,pa0ka0na0hút1
náit,ná2qit0
kanáit,ka0ná2qit0
nakqáwut,nak0qá2wut0
nakdáwun,nak0dá2wun0
nakígq,na0kíg1
nakinnákin,na0kin0ná2kin0
náknak,nák2nak0
nákuq,ná2kuq0
nalám,na0lám1
nálam,ná2lam0
hinalám,hi0na0lám1
namárku,na0már2ku0
námbir,nám2bir0
námuq,ná2muq0
namúk,na0múk1
,
,
naná,na0ná1
nána,ná2na0
nánaq,ná2naq0
nanáq,na0náq1
hinánaq,hi0ná2naq0
paŋhinánaq,paŋ0hi0ná2naq0
nának,ná2nak0
nanám,na0nám1
nánaŋ,ná2naŋ0
nánaw,ná2naw0
nánay,ná2nay0
nanáy,na0náy1
náŋ,náŋ1
náŋkaq,náŋ2kaq0
náŋnaŋ,náŋ2naŋ0
nánhi,nán2hi0
naníw,na0níw1
nánu,ná2nu0
nánu,ná2nu0
nánuy,ná2nuy0
nápkin,náp2kin0
nápta,náp2ta0
naptalína,nap0ta0lí2na0
napúq,na0púq1
napúluq,na0pú2luq0
nára,ná2ra0
naraŋhíta,na0raŋ0hí2ta0
narkutikú,nar0ku0ti0kú1
nárs,nár1
nársis,nár2sis0
nársiŋ,nár2siŋ0
nasiyunalísmu,na0si0yu0na0lís2mu0
nasiyunalísta,na0si0yu0na0lís2ta0
násnas,nás2nas0
náspu,nás2pu0
násud,ná2sud0
makinasudún,ma0ki0na0su0dún1
nasúdnun,na0súd2nun0
kanasúran,ka0na0sú2ran0
nasyunalisár,nas0yu0na0li0sár1
nátad,ná2tad0
natarán,na0ta0rán1
natí,na0tí1
natibidád,na0ti0bi0dád1
nátuq,ná2tuq0
natúk,na0túk1
nátun,ná2tun0
naturál,na0tu0rál1
naturalísa,na0tu0ra0lí2sa0
naturálya,na0tu0rál2ya0
náug,ná2qug0
kanáug,ka0ná2qug0
panáug,pa0ná2qug0
kalanaugún,ka0la0na0qau0qún
naugnaúg,na0qaug0na0qúg
nawása,na0wá2sa0
náwi,ná2wi0
nawihán,na0wi0hán1
náwnaw,náw2naw0
hináwnaw,hi0náw2naw0
paŋhináwnaw,paŋ0hi0náw2naw0
nawúg,na0wúg1
nawúŋ,na0wúŋ1
láŋit,lá2ŋit0
sápiq,sá2piq0
nawuŋanáy,na0wu0ŋa0náy1
nawúŋan,na0wú2ŋan0
nawuŋnáwuŋ,na0wuŋ0ná2wuŋ0
kanawuŋnáwuŋ,ka0na0wuŋ0ná2wuŋ0
náqy,náq1
nayanáya,na0ya0ná2ya0
nayintináyin,na0yin0ti0ná2yin0
nayítklab,na0qítklab0
nayitklabíŋ,na0qitk0la0bíŋ1
nayitlítir,na0yit0lí2tir0
nayítskul,na0qítskul0
náylun,náy2lun0
náyun,ná2yun0
NBI,0
NDB́,0
ŋ́,ŋ0
ŋá,ŋá1
ŋáq,ŋáq1
ŋáab,ŋá2qab0
ŋáan,ŋá2qan0
ŋā́b́,0
ŋába,ŋá2ba0
ŋábil,ŋá2bil0
ŋábŋab,ŋáb2ŋab0
ŋádtu,ŋád2tu0
pasiŋádtu,pa0si0ŋád2tu0
ŋadtuŋádtu,ŋad0tu0ŋád2tu0
ŋaláb,ŋa0láb1
ŋálab,ŋá2lab0
paŋaláb,pa0ŋa0láb1
ŋálan,ŋá2lan0
hiŋálan,hi0ŋá2lan0
ŋálŋal,ŋál2ŋal0
ŋámig,ŋá2mig0
ŋán,ŋán1
ŋā́ń,0
ŋaŋá,ŋa0ŋá1
ŋáŋa,ŋá2ŋa0
ŋáqŋaq,ŋáq2ŋaq0
ŋáŋha,ŋáŋ2ha0
hiŋáŋha,hi0ŋáŋ2ha0
haŋáŋha,ha0ŋáŋ2ha0
ŋánhaq,ŋán2haq0
pasiŋánhaq,pa0si0ŋán2haq0
ŋánhi,ŋán2hi0
pasiŋánhi,pa0si0ŋán2hi0
ŋániq,ŋá2niq0
ŋánu,ŋá2nu0
ŋarí,ŋa0rí1
pasiŋarí,pa0si0ŋa0rí1
ŋásŋas,ŋás2ŋas0
ŋásŋas,ŋás2ŋas0
kaŋásŋas,ka0ŋás2ŋas0
ŋatanán,ŋa0ta0nán1
ŋátŋat,ŋát2ŋat0
ŋáwŋaw,ŋáw2ŋaw0
ŋáwŋaw,ŋáw2ŋaw0
ŋayáq,ŋa0yáq1
ŋí,ŋí1
ŋíaw,ŋí2qaw0
ŋíaw,ŋí2qaw0
ŋibiŋibí,ŋi0bi0ŋi0bí1
ŋídlis,ŋíd2lis0
ŋídŋid,ŋíd2ŋid0
ŋígŋig,ŋíg2ŋig0
ŋihít,ŋi0hít1
ŋílqad,ŋíl2qad0
ŋílbit,ŋíl2bit0
ŋilí,ŋi0lí1
ŋilít,ŋi0lít1
paŋilít,pa0ŋi0lít1
ŋílit,ŋí2lit0
ŋílŋig,ŋíl2ŋig0
ŋilú,ŋi0lú1
ŋílu,ŋí2lu0
ŋípun,ŋí2pun0
ŋipún,ŋi0pún1
ŋípnan,ŋíp2nan0
ŋísi,ŋí2si0
ŋisiŋisí,ŋi0si0ŋi0sí1
ŋíslit,ŋís2lit0
ŋísluq,ŋís2luq0
ŋísŋis,ŋís2ŋis0
ŋísŋis,ŋís2ŋis0
ŋítŋit,ŋít2ŋit0
paŋítŋit,pa0ŋít2ŋit0
kaŋitgnítan,ka0qitg0ní2tan0
ŋituŋitú,ŋi0tu0ŋi0tú1
ŋíub,ŋí2qub0
ŋíwŋiw,ŋíw2ŋiw0
ŋiyán,ŋi0yán1
ŋiyáw,ŋi0yáw1
ŋíyaw,ŋí2yaw0
ŋuál,ŋu0qál
ŋúgŋug,ŋúg2ŋug0
ŋuhál,ŋu0hál1
ŋúhal,ŋú2hal0
ŋuhúq,ŋu0húq1
kaŋúhuq,ka0ŋú2huq0
paŋuhúq,pa0ŋu0húq1
ŋúlŋul,ŋúl2ŋul0
ŋúlub,ŋú2lub0
ŋúlut,ŋú2lut0
ŋulután,ŋu0lu0tán1
ŋúmiks,ŋú2mik0
ŋúŋuq,ŋú2ŋuq0
ŋúrk,ŋúr1
ŋúsŋus,ŋús2ŋus0
ŋútŋut,ŋút2ŋut0
ŋuwál,ŋu0wál1
ŋúyŋuy,ŋúy2ŋuy0
ŋuyuŋuyú,ŋu0yu0ŋu0yú1
ŋyáwaq,yá2waq0
ŋyílu,yí2lu0
níq,níq1
ní,ní1
ní,ní1
ní,ní1
nía,ní2qa0
niádtu,ni0qiádqu0
niánaq,ni0qiáqaq0
níbi,ní2bi0
nibíl,ni0bíl1
nibiládu,ni0bi0lá2du0
nibiláwu,ni0bi0lá2wu0
níbir,ní2bir0
nibíra,ni0bí2ra0
nídnid,níd2nid0
nidnirán,nid0ni0rán1
nidnirún,nid0ni0rún1
nigár,ni0gár1
nigatíb,ni0ga0tíb1
nigatíb,ni0ga0tíb1
nígra,níg2ra0
nígru,níg2ru0
nígrus,níg2rus0
nígu,ní2gu0
nigusiyár,ni0gu0si0yár1
nigusyabúl,ni0gus0ya0búl1
nigusyánta,ni0gus0yán2ta0
nigúsyu,ni0gús2yu0
nigusyánti,ni0gus0yán2ti0
nihít,ni0hít1
níhit,ní2hit0
nihitníhit,ni0hit0ní2hit0
niíni,ni0qiíqi0
niíri,ni0qiíqi0
niítu,ni0qiíqu0
nikiládu,ni0ki0lá2du0
nikiláwu,ni0ki0lá2wu0
nikinikinú,ni0ki0ni0ki0nú1
nikruluhíya,nik0ru0lu0hí2ya0
níktay,ník2tay0
nikutín,ni0ku0tín1
nikutína,ni0ku0tí2na0
níla,ní2la0
nilkátir,nil0ká2tir0
nímpa,ním2pa0
nímu,ní2mu0
níndut,nín2dut0
níŋq,níŋ1
ninú,ni0nú1
nínyu,nín2yu0
pakanínyu,pa0ka0nín2yu0
nínyu,nín2yu0
nípaq,ní2paq0
nipáy,ni0páy1
nípay,ní2pay0
nipís,ni0pís1
panipís,pa0ni0pís1
tagnípis,tag0ní2pis0
nipúl,ni0púl1
nirbiyús,nir0bi0yús1
nirbiyusá,nir0bi0yu0sá1
nirbiyusú,nir0bi0yu0sú1
nislagán,nis0la0gán1
nísnis,nís2nis0
nít,nít1
nít,nít1
nítbul,nít2bul0
nitruhínu,nit0ru0hí2nu0
nítsu,nít2su0
nítuq,ní2tuq0
níwaŋ,ní2waŋ0
níwniw,níw2niw0
níya,ní2ya0
niyán,ni0yán1
níyun,ní2yun0
NPĆ,0
nú,nú1
nú,nú1
Núb.,Núb1
nubáli,nu0bá2li0
nubátu,nu0bá2tu0
nubátus,nu0bá2tus0
núbi,nú2bi0
nubíla,nu0bí2la0
nubilísta,nu0bi0lís2ta0
nubímbri,nu0qímbri0
nubína,nu0bí2na0
almanáki,qal0ma0ná2ki0
nubinahán,nu0bi0na0hán1
nubináryu,nu0bi0nár2yu0
nubínta,nu0bín2ta0
nubúq,nu0búq1
núbuq,nú2buq0
núbya,núb2ya0
nubyímbri,nub0qímbri0
núbyu,núb2yu0
núdnud,núd2nud0
núgbuq,núg2buq0
nuísu,nu0quíqu0
núka,nú2ka0
nuká,nu0ká1
nukaún,nu0ka0qún
nukanúk,nu0ka0núk1
nukliyár,nuk0li0yár1
núkus,nú2kus0
nukusnúkus,nu0kus0nú2kus0
paŋnúkus,paŋ0nú2kus0
núli,nú2li0
núlu,nú2lu0
númbrar,qúmbrar0
numbramyíntu,qumb0ram0yín2tu0
númbri,qúmbri0
numinár,nu0mi0nár1
numinásyun,nu0mi0nás2yun0
numiráwu,nu0mi0rá2wu0
numirú,nu0mi0rú1
númrǎr,núm1
numramyíntu,num0ram0yín2tu0
númri,núm2ri0
qnun,nun0
núŋ,núŋ1
núŋka,núŋ2ka0
nunút,nu0nút1
pahinúnut,pa0hi0nú2nut0
sagnúnut,sag0nú2nut0
signúnut,sig0nú2nut0
pasignúnut,pa0sig0nú2nut0
pasagnúnut,pa0sag0nú2nut0
nuránti,nu0rán2ti0
núrmal,núr2mal0
núrmal,núr2mal0
núrt,núr1
núrti,núr2ti0
núrul,nú2rul0
Nurwígu,Nur0wí2gu0
núsnus,nús2nus0
núsul,nú2sul0
núta,nú2ta0
dinúta,di0nú2ta0
núta,nú2ta0
nutádu,nu0tá2du0
nutáryu,nu0tár2yu0
nútbuk,nút2buk0
nutikál,nu0ti0kál1
nutísya,nu0tís2ya0
nutrisyunísta,nut0ris0yu0nís2ta0
núts,nút1
nútsi,nút2si0
paŋnútsi,paŋ0nút2si0
núud,nú2qud0
nuúg,nu0qúg
nuugnuúg,nu0quug0nu0qúg
nuugnuúg,nu0quug0nu0qúg
núun,nú2qun0
núy,núy1
núybi,núy2bi0
nuybínta,nuy0bín2ta0
nwístra,qístra0
nyaq,yaq0
nyíbi,yí2bi0
nyur,yur0
nyurá,yu0rá1
nyúra,yú2ra0
nyuralhiyá,yu0ral0hi0yá1
nyuríta,yu0rí2ta0
nyurítu,yu0rí2tu0
nyús,yús1
nyúsbuy,yús2buy0
nyútral,yút2ral0
pá,pá1
díliq,dí2liq0
únsa,qúnsa0
úsaq,saq0
ísaq,saq0
gawás,ga0wás1
ádj.],0
agád,gád1
hináut,hi0ná2qut0
básin,bá2sin0
áyhaq,qáyhaq0
pá,pá1
pá,pá1
pá,pá1
pā̀́,0
páq,páq1
páa,pá2qa0
paá,pa0qá
pamáa,pa0má2qa0
paahán,pa0qaa0qán
paagpaág,pa0qaag0pa0qág
páak,pá2qak0
paák,pa0qák
papáak,pa0pá2qak0
pamaák,pa0ma0qák
pinaakáy,pi0na0qaa0qáy
pináak,pi0ná2qak0
pinaakán,pi0na0qaa0qán
paás,pa0qás
páas,pá2qas0
páaw,pá2qaw0
kapáaw,ka0pá2qaw0
páaw,pá2qaw0
pabalúnan,pa0ba0lú2nan0
