_id,head,normalized_head
571,ahítu,ahitu
572,áhù,ahu
573,idyaidya ahuáhù,idyaidya ahuahu
574,áhug,ahug
575,ahug,ahug
576,áhus,ahus
577,ahus,ahus
578,ahusan,ahusan
579,ahus-áhus,ahus-ahus
580,ahus-ahus,ahus-ahus
581,áhus nga putì,ahus nga puti
582,ak,ak
583,akáak,akaak
584,ákab,akab
585,akadimíya,akadimiya
586,ak-ak,ak-ak
587,ákal,akal
588,akasya,akasya
589,akasyahan,akasyahan
590,akata,akata
591,akatar,akatar
592,akawntant,akawntant
593,akba,akba
594,akbay,akbay
595,akbù,akbu
596,akbuánan,akbuanan
597,akhab,akhab
598,akin,akin
599,akip,akip
600,akip-akipun,akip-akipun
601,aklas,aklas
602,akmù,akmu
603,akni,akni
604,aknit,aknit
605,aksì,aksi
606,aksidinti,aksidinti
607,aksidu,aksidu
608,kaáksidu,kaaksidu
609,aksintu,aksintu
610,aksiyun,aksiyun
611,aksiyunista,aksiyunista
612,aksul,aksul
613,akta,akta
614,aktibidádis,aktibidadis
615,aktibista,aktibista
616,aktíbu,aktibu
617,akting,akting
618,aktitud,aktitud
619,aktris,aktris
620,alaktrisun,alaktrisun
621,aktu,aktu
622,aktur,aktur
623,alakturun,alakturun
624,aktur kantur,aktur kantur
625,aktuwal,aktuwal
626,sa aktuwal,sa aktuwal
627,aku,aku
628,ku,ku
629,ay ku nímu,ay ku nimu
630,tig-akuaku,tig-akuaku
631,ákù,aku
632,ákù na,aku na
633,Ang ákù gud,ang aku gud
634,maakuakuun,maakuakuun
635,akúa,akua
636,kanákù,kanaku
637,nákù,naku
638,nákù ug,naku ug
639,gipakaingun nákù,gipakaingun naku
640,áku,aku
641,pangáku,pangaku
642,kaakúhan,kaakuhan
643,kapangakúhan,kapangakuhan
644,akuakuhan,akuakuhan
645,maakuakuhan,maakuakuhan
646,manggiakuakuhan,manggiakuakuhan
647,akub,akub
648,ákub,akub
649,ákud,akud
650,ákud,akud
651,akud,akud
652,akúdi,akudi
653,akulitu,akulitu
654,akumpaniing,akumpaniing
655,akumpaniyamintu,akumpaniyamintu
656,akumpaniyar,akumpaniyar
657,akumplísi,akumplisi
658,akup-akup,akup-akup
659,akurdiyun,akurdiyun
660,akusádu,akusadu
661,akusar,akusar
662,akusádu,akusadu
663,akusasiyun,akusasiyun
664,akwaryum,akwaryum
665,akwintans,akwintans
666,akwintans parti,akwintans parti
667,akyut,akyut
668,ala,ala
669,ala úna,ala una
670,Ála,ala
671,alà,ala
672,walay alà,walay ala
673,pangálà,pangala
674,álà,ala
675,alabádu,alabadu
676,alabanit,alabanit
677,alabíhid,alabihid
678,alabútun,alabutun
679,álad,alad
680,alagad,alagad
681,ulualágad,ulualagad
682,agad-ágad,agad-agad
683,alágad,alagad
684,alágad sa baláud,alagad sa balaud
685,kaalagáran,kaalagaran
686,maalagárun,maalagarun
687,alagdun,alagdun
688,alag-ag,alag-ag
689,alalag-agun,alalag-agun
690,alag-agan,alag-agan
691,alagási,alagasi
692,alagaw,alagaw
693,alagay,alagay
694,alagbáti,alagbati
695,alagbay,alagbay
